Wavelength	Sensitivity
1.0728	1.33997e+15
1.0729	1.35064e+15
1.073	1.36142e+15
1.0731	1.3723e+15
1.0732	1.38327e+15
1.0733	1.39435e+15
1.0734	1.40554e+15
1.0735	1.41682e+15
1.0736	1.4282e+15
1.0737	1.43969e+15
1.0738	1.45127e+15
1.0739	1.46296e+15
1.074	1.47475e+15
1.0741	1.48664e+15
1.0742	1.49863e+15
1.0743	1.51073e+15
1.0744	1.52292e+15
1.0745	1.53522e+15
1.0746	1.54762e+15
1.0747	1.56011e+15
1.0748	1.57271e+15
1.0749	1.58542e+15
1.075	1.59822e+15
1.0751	1.61112e+15
1.0752	1.62407e+15
1.0753	1.63712e+15
1.0754	1.65027e+15
1.0755	1.66351e+15
1.0756	1.67686e+15
1.0757	1.6903e+15
1.0758	1.70384e+15
1.0759	1.71749e+15
1.076	1.73123e+15
1.0761	1.74507e+15
1.0762	1.75901e+15
1.0763	1.77304e+15
1.0764	1.78718e+15
1.0765	1.80142e+15
1.0766	1.81575e+15
1.0767	1.83018e+15
1.0768	1.84472e+15
1.0769	1.85935e+15
1.077	1.87408e+15
1.0771	1.88891e+15
1.0772	1.90384e+15
1.0773	1.91886e+15
1.0774	1.93399e+15
1.0775	1.94921e+15
1.0776	1.96454e+15
1.0777	1.97996e+15
1.0778	1.99548e+15
1.0779	2.01111e+15
1.078	2.02683e+15
1.0781	2.04264e+15
1.0782	2.05856e+15
1.0783	2.07458e+15
1.0784	2.0907e+15
1.0785	2.10691e+15
1.0786	2.12322e+15
1.0787	2.13964e+15
1.0788	2.15615e+15
1.0789	2.17276e+15
1.079	2.18947e+15
1.0791	2.20628e+15
1.0792	2.22319e+15
1.0793	2.24019e+15
1.0794	2.2573e+15
1.0795	2.2745e+15
1.0796	2.29181e+15
1.0797	2.30921e+15
1.0798	2.32592e+15
1.0799	2.34189e+15
1.08	2.3579e+15
1.0801	2.37394e+15
1.0802	2.39e+15
1.0803	2.40611e+15
1.0804	2.42224e+15
1.0805	2.4384e+15
1.0806	2.4546e+15
1.0807	2.47083e+15
1.0808	2.48709e+15
1.0809	2.50338e+15
1.081	2.5197e+15
1.0811	2.53606e+15
1.0812	2.55244e+15
1.0813	2.56886e+15
1.0814	2.58532e+15
1.0815	2.6018e+15
1.0816	2.61831e+15
1.0817	2.63486e+15
1.0818	2.65144e+15
1.0819	2.66805e+15
1.082	2.68469e+15
1.0821	2.70137e+15
1.0822	2.71807e+15
1.0823	2.73481e+15
1.0824	2.75158e+15
1.0825	2.76838e+15
1.0826	2.78521e+15
1.0827	2.80208e+15
1.0828	2.81898e+15
1.0829	2.83591e+15
1.083	2.85287e+15
1.0831	2.86986e+15
1.0832	2.88688e+15
1.0833	2.90394e+15
1.0834	2.92103e+15
1.0835	2.93815e+15
1.0836	2.9553e+15
1.0837	2.97249e+15
1.0838	2.9897e+15
1.0839	3.00695e+15
1.084	3.02423e+15
1.0841	3.04154e+15
1.0842	3.05888e+15
1.0843	3.07626e+15
1.0844	3.09367e+15
1.0845	3.10937e+15
1.0846	3.12504e+15
1.0847	3.14066e+15
1.0848	3.15624e+15
1.0849	3.17178e+15
1.085	3.18728e+15
1.0851	3.20274e+15
1.0852	3.21816e+15
1.0853	3.23353e+15
1.0854	3.24887e+15
1.0855	3.26416e+15
1.0856	3.27941e+15
1.0857	3.29462e+15
1.0858	3.30979e+15
1.0859	3.32492e+15
1.086	3.34001e+15
1.0861	3.35506e+15
1.0862	3.37006e+15
1.0863	3.38503e+15
1.0864	3.39995e+15
1.0865	3.41483e+15
1.0866	3.42967e+15
1.0867	3.44447e+15
1.0868	3.45923e+15
1.0869	3.47395e+15
1.087	3.48863e+15
1.0871	3.50326e+15
1.0872	3.51786e+15
1.0873	3.53241e+15
1.0874	3.54692e+15
1.0875	3.56139e+15
1.0876	3.57582e+15
1.0877	3.59021e+15
1.0878	3.60456e+15
1.0879	3.61887e+15
1.088	3.63313e+15
1.0881	3.64736e+15
1.0882	3.66154e+15
1.0883	3.67568e+15
1.0884	3.68978e+15
1.0885	3.70384e+15
1.0886	3.71786e+15
1.0887	3.73184e+15
1.0888	3.74577e+15
1.0889	3.75967e+15
1.089	3.77352e+15
1.0891	3.78733e+15
1.0892	3.80111e+15
1.0893	3.81484e+15
1.0894	3.82852e+15
1.0895	3.84217e+15
1.0896	3.85578e+15
1.0897	3.86935e+15
1.0898	3.88287e+15
1.0899	3.89635e+15
1.09	3.9098e+15
1.0901	3.9232e+15
1.0902	3.93656e+15
1.0903	3.94988e+15
1.0904	3.96315e+15
1.0905	3.97639e+15
1.0906	3.98959e+15
1.0907	4.00274e+15
1.0908	4.01585e+15
1.0909	4.02893e+15
1.091	4.04196e+15
1.0911	4.05495e+15
1.0912	4.0679e+15
1.0913	4.0808e+15
1.0914	4.09367e+15
1.0915	4.10649e+15
1.0916	4.11928e+15
1.0917	4.13202e+15
1.0918	4.14472e+15
1.0919	4.15738e+15
1.092	4.17e+15
1.0921	4.18258e+15
1.0922	4.19512e+15
1.0923	4.20762e+15
1.0924	4.22007e+15
1.0925	4.23248e+15
1.0926	4.24486e+15
1.0927	4.25719e+15
1.0928	4.26948e+15
1.0929	4.28173e+15
1.093	4.29394e+15
1.0931	4.3061e+15
1.0932	4.31823e+15
1.0933	4.33031e+15
1.0934	4.34236e+15
1.0935	4.35436e+15
1.0936	4.36632e+15
1.0937	4.37824e+15
1.0938	4.39171e+15
1.0939	4.40521e+15
1.094	4.41873e+15
1.0941	4.43228e+15
1.0942	4.44586e+15
1.0943	4.45946e+15
1.0944	4.47308e+15
1.0945	4.48674e+15
1.0946	4.50042e+15
1.0947	4.51412e+15
1.0948	4.52785e+15
1.0949	4.54161e+15
1.095	4.55539e+15
1.0951	4.5692e+15
1.0952	4.58303e+15
1.0953	4.59689e+15
1.0954	4.61078e+15
1.0955	4.62469e+15
1.0956	4.63863e+15
1.0957	4.65259e+15
1.0958	4.66658e+15
1.0959	4.68059e+15
1.096	4.69464e+15
1.0961	4.7087e+15
1.0962	4.7228e+15
1.0963	4.73691e+15
1.0964	4.75106e+15
1.0965	4.76523e+15
1.0966	4.77943e+15
1.0967	4.79365e+15
1.0968	4.8079e+15
1.0969	4.82217e+15
1.097	4.83647e+15
1.0971	4.8508e+15
1.0972	4.86515e+15
1.0973	4.87953e+15
1.0974	4.89393e+15
1.0975	4.90836e+15
1.0976	4.92282e+15
1.0977	4.9373e+15
1.0978	4.95181e+15
1.0979	4.96634e+15
1.098	4.9809e+15
1.0981	4.99549e+15
1.0982	5.0101e+15
1.0983	5.02473e+15
1.0984	5.03974e+15
1.0985	5.05513e+15
1.0986	5.07057e+15
1.0987	5.08608e+15
1.0988	5.10163e+15
1.0989	5.11724e+15
1.099	5.13291e+15
1.0991	5.14863e+15
1.0992	5.1644e+15
1.0993	5.18023e+15
1.0994	5.19612e+15
1.0995	5.21206e+15
1.0996	5.22805e+15
1.0997	5.2441e+15
1.0998	5.26021e+15
1.0999	5.27637e+15
1.1	5.29258e+15
1.1001	5.30885e+15
1.1002	5.32517e+15
1.1003	5.34155e+15
1.1004	5.35799e+15
1.1005	5.37447e+15
1.1006	5.39102e+15
1.1007	5.40762e+15
1.1008	5.42427e+15
1.1009	5.44098e+15
1.101	5.45774e+15
1.1011	5.47456e+15
1.1012	5.49143e+15
1.1013	5.50836e+15
1.1014	5.52534e+15
1.1015	5.54238e+15
1.1016	5.55947e+15
1.1017	5.57662e+15
1.1018	5.59382e+15
1.1019	5.61107e+15
1.102	5.62839e+15
1.1021	5.64575e+15
1.1022	5.66317e+15
1.1023	5.68065e+15
1.1024	5.69818e+15
1.1025	5.71577e+15
1.1026	5.73341e+15
1.1027	5.7511e+15
1.1028	5.76885e+15
1.1029	5.78666e+15
1.103	5.80452e+15
